dtg,mac,rssi,ssid,oui
"2015-10-03 21:19:46.117894",40:0e:85:54:69:15,-81,<None>,"Samsung Electro Mechanics co.,LTD."
"2015-10-03 21:19:46.213776",40:0e:85:54:69:15,-81,<None>,"Samsung Electro Mechanics co.,LTD."
"2015-10-03 21:21:58.432867",a0:39:f7:72:c6:5b,-81,<None>,"LG Electronics (Mobile Communications)"
"2015-10-03 21:22:04.445819",a0:39:f7:72:c6:5b,-81,<None>,"LG Electronics (Mobile Communications)"
"2015-10-03 21:25:41.060825",50:55:27:c9:0c:30,-81,<None>,"LG Electronics"
"2015-10-03 21:25:41.083587",50:55:27:c9:0c:30,-83,<None>,"LG Electronics"
"2015-10-03 21:25:41.105428",50:55:27:c9:0c:30,-85,<None>,"LG Electronics"
"2015-10-03 21:26:21.810595",64:09:80:ca:85:c5,-83,<None>,"XIAOMI Electronics,CO.,LTD"
"2015-10-03 21:26:21.834116",64:09:80:ca:85:c5,-79,<None>,"XIAOMI Electronics,CO.,LTD"
"2015-10-03 21:26:31.476283",64:09:80:ca:85:c5,-81,<None>,"XIAOMI Electronics,CO.,LTD"
"2015-10-03 21:26:39.775852",64:09:80:ca:85:c5,-81,<None>,"XIAOMI Electronics,CO.,LTD"
"2015-10-03 21:26:41.735868",64:09:80:ca:85:c5,-79,<None>,"XIAOMI Electronics,CO.,LTD"
"2015-10-03 21:26:56.545859",64:09:80:ca:85:c5,-81,<None>,"XIAOMI Electronics,CO.,LTD"
"2015-10-03 21:27:48.210246",f4:9f:f3:7c:76:4e,-81,<None>,"Huawei Technologies Co., Ltd"
"2015-10-03 21:29:44.585067",c0:38:96:0c:2c:4b,-83,nyu,"Hon Hai Precision Ind. Co.,Ltd."
"2015-10-03 21:31:06.090081",a0:e4:53:f3:f2:61,-79,nyu,"Sony Mobile Communications AB"
"2015-10-03 21:32:53.421638",04:15:52:4c:41:e8,-81,<None>,Apple
"2015-10-03 21:33:02.214218",d4:f4:6f:40:08:d1,-81,<None>,Error
"2015-10-03 21:37:00.867174",f6:ce:11:0d:75:6b,-81,<None>,"Admin OUI"
"2015-10-03 21:39:29.313323",c4:9a:02:23:a5:12,-83,<None>,"LG Electronics (Mobile Communicaitons)"
"2015-10-03 21:40:50.670665",00:24:1d:bb:07:fc,-83,PARAVLM,"GIGA-BYTE TECHNOLOGY CO.,LTD."
"2015-10-03 21:41:09.808292",ae:1d:f6:a7:d5:27,-81,<None>,"Admin OUI"
"2015-10-03 21:41:29.948157",00:80:48:6e:4b:34,-83,strawberry,"COMPEX INCORPORATED"
"2015-10-03 21:41:35.592874",00:80:48:6e:4b:34,-83,<None>,"COMPEX INCORPORATED"
"2015-10-03 21:42:02.986983",d8:bb:2c:61:a0:99,-79,nyu,Apple
"2015-10-03 21:42:56.664975",00:80:48:6e:4b:34,-83,<None>,"COMPEX INCORPORATED"
"2015-10-03 21:43:02.448314",00:80:48:6e:4b:34,-81,strawberry,"COMPEX INCORPORATED"
"2015-10-03 21:43:08.254067",00:80:48:6e:4b:34,-79,<None>,"COMPEX INCORPORATED"
"2015-10-03 21:43:14.068548",00:80:48:6e:4b:34,-79,strawberry,"COMPEX INCORPORATED"
"2015-10-03 21:43:25.661653",00:80:48:6e:4b:34,-81,strawberry,"COMPEX INCORPORATED"
"2015-10-03 21:45:53.948129",c0:bd:d1:77:74:85,-79,<None>,"Samsung Electro Mechanics co., LTD."
"2015-10-03 21:47:29.462368",70:3e:ac:97:c4:cb,-81,<None>,Apple
"2015-10-03 21:47:29.487198",70:3e:ac:97:c4:cb,-81,<None>,Apple
"2015-10-03 21:47:39.862804",e8:50:8b:17:60:6c,-81,<None>,"Samsung Electro Mechanics co., LTD."
"2015-10-03 21:48:17.111996",c0:bd:d1:77:74:85,-77,<None>,"Samsung Electro Mechanics co., LTD."
"2015-10-03 21:48:17.186521",c0:bd:d1:77:74:85,-81,<None>,"Samsung Electro Mechanics co., LTD."
"2015-10-03 21:48:37.645028",40:0e:85:07:5f:67,-83,<None>,"Samsung Electro Mechanics co.,LTD."
"2015-10-03 21:51:32.200420",fc:c2:de:2b:07:40,-83,<None>,"Murata Manufacturing Co., Ltd."
"2015-10-03 21:51:32.291434",fc:c2:de:2b:07:40,-81,3VKNK2RVXH6BLVMJ,"Murata Manufacturing Co., Ltd."
"2015-10-03 21:51:32.313095",fc:c2:de:2b:07:40,-79,<None>,"Murata Manufacturing Co., Ltd."
"2015-10-03 21:54:47.023341",d4:f4:6f:32:6b:ba,-83,<None>,Apple
"2015-10-03 21:54:47.052650",d4:f4:6f:32:6b:ba,-79,<None>,Apple
"2015-10-03 21:56:09.404007",00:24:1d:bb:07:fc,-81,dummyssiddonotconnect987654322,"GIGA-BYTE TECHNOLOGY CO.,LTD."
