dtg,mac,rssi,ssid,oui,count
"2015-09-16 13:08:11.889020",0c:8b:fd:57:eb:cb,-77,<None>,"Intel Corporate",
"2015-09-16 13:08:11.939289",0c:8b:fd:57:eb:cb,-77,nyu,"Intel Corporate",
"2015-09-16 13:08:21.466675",70:3e:ac:17:a1:f7,-77,<None>,Apple,
"2015-09-16 13:08:26.700016",e2:21:05:38:5e:ad,-77,<None>,"Admin OUI",
"2015-09-16 13:08:33.889647",ec:1f:72:a8:b5:34,-77,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:08:37.989198",d0:9d:ab:0c:2f:e5,-75,MetroPcs,"TCT mobile ltd",
"2015-09-16 13:08:42.203761",ec:1f:72:a8:b5:34,-73,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:08:46.592570",ec:1f:72:a8:b5:34,-75,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:08:49.633053",40:0e:85:f7:41:91,-75,8iw8772oo8o,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 13:09:13.397733",64:5a:04:b1:e0:a2,-79,nyu,"Chicony Electronics Co., Ltd.",
"2015-09-16 13:09:32.478716",34:12:98:e3:84:7f,-75,<None>,Apple,
"2015-09-16 13:09:34.981410",34:12:98:e3:84:7f,-71,<None>,Apple,
"2015-09-16 13:09:35.177819",34:12:98:e3:84:7f,-75,ImpreMedia,Apple,
"2015-09-16 13:09:36.552686",f4:09:d8:da:2c:ad,-77,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:09:38.225113",06:a9:10:c5:bd:56,-73,<None>,"Admin OUI",
"2015-09-16 13:09:44.933321",10:d3:8a:41:64:4c,-79,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 13:09:50.041854",f8:95:c7:eb:2b:95,-73,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:09:50.122337",f4:09:d8:da:2c:ad,-79,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:09:57.673016",e2:21:05:38:5e:ad,-75,<None>,"Admin OUI",
"2015-09-16 13:10:01.246403",a8:7c:01:5c:d3:0c,-75,<None>,"Samsung Elec Co.,Ltd",
"2015-09-16 13:10:01.546518",c0:bd:d1:ae:b6:ea,-75,attwifibn,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:10:27.793787",34:23:ba:5f:e5:ac,-79,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 13:10:27.840751",34:23:ba:5f:e5:ac,-79,<None>,"Samsung Electro Mechanics co.,LTD.",
"2015-09-16 13:10:32.187952",c0:bd:d1:40:1c:f9,-75,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:10:40.881395",0c:8b:fd:57:eb:cb,-77,<None>,"Intel Corporate",
"2015-09-16 13:10:46.696862",e2:21:05:38:5e:ad,-77,<None>,"Admin OUI",
"2015-09-16 13:10:46.750431",e2:21:05:38:5e:ad,-75,<None>,"Admin OUI",
"2015-09-16 13:10:51.260607",74:5c:9f:45:d6:8c,-77,<None>,"TCT mobile ltd.",
"2015-09-16 13:10:54.841732",f8:95:c7:eb:2b:95,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:11:25.614700",f8:95:c7:dd:dc:0e,-73,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:11:25.667827",f8:95:c7:dd:dc:0e,-79,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:11:46.478423",fc:e9:98:bb:a0:a8,-77,<None>,Apple,
"2015-09-16 13:11:55.477603",0c:8b:fd:57:eb:cb,-79,<None>,"Intel Corporate",
"2015-09-16 13:12:25.008128",92:03:cb:33:c7:6a,-77,<None>,"Admin OUI",
"2015-09-16 13:12:31.201949",14:10:9f:d0:f8:eb,-79,nyu,Error,
"2015-09-16 13:12:31.427715",14:10:9f:d0:f8:eb,-75,<None>,Apple,
"2015-09-16 13:12:35.754963",02:d4:54:ca:d8:18,-69,<None>,"Admin OUI",
"2015-09-16 13:12:40.988408",94:01:c2:35:98:4f,-73,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 13:13:24.302612",10:30:47:7d:f9:6e,-77,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 13:13:30.609062",6c:70:9f:2c:bc:d0,-77,<None>,Apple,
"2015-09-16 13:13:52.662708",0c:8b:fd:57:eb:cb,-81,<None>,"Intel Corporate",
"2015-09-16 13:13:52.912399",66:64:02:b1:d1:14,-75,<None>,"Admin OUI",
"2015-09-16 13:13:59.703021",94:01:c2:35:98:4f,-75,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 13:14:36.394554",fc:e9:98:50:aa:43,-75,<None>,Apple,
"2015-09-16 13:14:36.813769",66:64:02:b1:d1:14,-75,<None>,"Admin OUI",
"2015-09-16 13:14:48.281759",14:10:9f:d0:f8:eb,-81,<None>,Apple,
"2015-09-16 13:14:50.738460",02:d4:54:ca:d8:18,-69,<None>,"Admin OUI",
"2015-09-16 13:15:01.330389",9a:82:59:c1:ff:d1,-77,<None>,"Admin OUI",
"2015-09-16 13:15:10.030900",64:89:9a:8a:f4:a4,-71,<None>,"LG Electronics",
"2015-09-16 13:15:10.084445",64:89:9a:8a:f4:a4,-75,<None>,"LG Electronics",
"2015-09-16 13:15:15.498538",78:d7:5f:6a:d1:bc,-67,nyu,"Apple, Inc.",
"2015-09-16 13:17:21.724252",d4:f4:6f:40:08:d1,-73,<None>,Apple,
"2015-09-16 13:18:10.829969",78:d7:5f:6a:d1:bc,-51,<None>,"Apple, Inc.",
"2015-09-16 13:18:11.116593",78:d7:5f:6a:d1:bc,-49,nyu,"Apple, Inc.",
